Global_97353.f_16828.f_387; g_bFinalEpsilonPayment
Global_97353.f_16828.f_388; g_bStoleEpsilonCash
Global_97353.f_16828.f_389; g_bTriggeredHao1
Global_97353.f_1729.f_539; PP_INFO_STRUCT
Global_97353.f_1729.f_3755; FRANKLIN_ORIGINAL_OUTFIT_ID
Global_97353.f_1729.f_3756; OVERRIDE_PED
Global_97353.f_8303.f_1; PROSTITUTE_SAVED_DATA
Global_97353.f_8303.f_90; PROSTITUTE_SERVICES_ARRAY
Global_97353.f_8303.f_94; CHOP_HINTS_DISPLAYED
Global_97353.f_8303.f_95; WARDROBE_HINTS_DISPLAYED
Global_97353.f_8303.f_96; BRIDGES_FLOWN_UNDER_FLAGS
Global_97353.f_8303.f_97; BRIDGES_FLOWN_UNDER_FLAGS_2
Global_97353.f_8303.f_98; BRIDGES_FLOWN_UNDER_FLAGS_3
Global_97353.f_8303.f_99; WILDLIFE_PHOTOGRAPHY_FLAGS
Global_97353.f_8303.f_100; CHASE_HELP_TEXT_DISPLAYED_MI
Global_97353.f_8303.f_101; CHASE_HELP_TEXT_DISPLAYED_RC
Global_97353.f_8303.f_102; CHASE_HELP_TEXT_DISPLAYED_RE
Global_97353.f_8303.f_103; EPSCAR_STAGE
Global_97353.f_8303.f_104; EPSCAR_LAST_EMAIL
Global_97353.f_8303.f_105; EPSROBES_ROBES_TIME
Global_97353.f_8303.f_106; EPSROBES_ROBES_DELIVERY_TIME
Global_97353.f_8303.f_107; EPSDESERT_DISTANCE_RUN
Global_97353.f_8303.f_108; FOR_SALE_SIGN_DESTROYED_FLAGS
Global_97353.f_8303.f_109; HUNTING_HISCORE_FREE_MODE
Global_97353.f_8303.f_110; HUNTING_LOWEST_TIME_GOLD
Global_97353.f_8303.f_115; HUNTING_CHALLENGE_DISPLAYED
Global_97353.f_8303.f_116; HUNTING_WEEK_TIMER
Global_97353.f_8303.f_111; CHALLENGE_FREE_MODE
Global_97353.f_8303.f_117; VEHICLE_REPAIR_FRANKLIN
Global_97353.f_8303.f_118; VEHICLE_REPAIR_MICHAEL
Global_97353.f_8303.f_119; VEHICLE_REPAIR_TREVOR
Global_97353.f_8303.f_120; TAXI_HAIL_HELP_PROMPT
Global_97353.f_8303.f_121; TAXI_ENTER_HELP_PROMPT
Global_97353.f_8303.f_122; LETTER_SCRAPS_SAVED_STRUCT
Global_97353.f_8303.f_125; SPACESHIP_PARTS_SAVED_STRUCT
Global_97353.f_8303.f_128; FIB4_GETAWAY_STATE
Global_97353.f_8303.f_129; WEBSITE_SUBSCRIPTION_ARRAY
Global_97353.f_8303.f_133; MURDER_MYSTERY_PROGRESS
Global_97353.f_8303.f_134; NOIR_EFFECTS_STATUS
Global_97353.f_8303.f_135; PHOTOGRAPHY_MONKEY_FLAGS
Global_97353.f_8303.f_138; PEYOTE_PICKUP_OF_TYPE_FOUND
Global_97353.f_8303.f_143; PEYOTE_ANIMAL_SEEN
Global_97353.f_8303.f_144; PEYOTE_PROGRESSION_COMPLETE
Global_97353.f_1.f_6; HEIST_CREW_HELP_DISPLAYED_ARRAY
Global_97353.f_1.f_12; HEIST_SELECTED_CREW_ARRAY
Global_97353.f_1.f_73; HEIST_CREW_ACTIVE_DATA_ARRAY
Global_97353.f_1.f_116; Crew_Unlocked_Bitset
Global_97353.f_1.f_117; Crew_Used_Bitset
Global_97353.f_1.f_118; Crew_Dead_Bitset
Global_97353.f_1.f_119; Crew_Dialogue_Bitset
Global_97353.f_1.f_120; HEIST_DISPLAY_GROUP_VISIBLE_ARRAY
Global_97353.f_1.f_126; HEIST_END_SCREEN_DATA_STRUCT
Global_97353.f_8270.f_4; MF_COMMAND_POINTER_OVERRIDE_ARRAY
Global_97353.f_8270.f_8; MF_COMMAND_POINTER_HASH_ID_ARRAY
Global_97353.f_8270.f_12; MF_MISSION_TO_UNCOMPLETE
Global_97353.f_8270.f_16; MF_APPLY_ON_MP_SWITCH_ONLY
Global_97353.f_8270.f_20; numberStoredOverrides
Global_97353.f_8270.f_21; iMissionsCompleted
Global_97353.f_8270.f_22; iMissionGolds
Global_97353.f_8270.f_23; wasFadedOut
Global_97353.f_8270.f_24; wasFadedOut_switch
Global_97353.f_8270.f_25; spInitBitset
Global_97353.f_8270.f_26; MF_MISS_FIRST_ACTIVATE_ARRAY
Global_97353.f_8270.f_30; iFirstPersonCoverHelpCountMission
Global_97353.f_8270.f_31; iFirstPersonCoverHelpCountFlow
Global_97353.f_8270.f_32; iVehDuckHelpCount
Global_97353.f_7341.f_1; flowCompleted
Global_97353.f_7341.f_2; MF_STRANDS_ARRAY
Global_97353.f_7341.f_99; MF_CONTROLS_STRUCT
Global_97353.f_7341.f_328; MF_MISSION_ARRAY
Global_97353.f_17270.f_19; OFFROAD_iBestPlaces
Global_97353.f_18237.f_21; TRAFFICKING_iDropLocations
Global_97353.f_16828.f_390; VISIBLE_IN_FOW
Global_97353.f_1729.f_493; TATTOOS_ARRAY
Global_97353.f_29607; BitsetCharacterStoryUnlock
Global_97353.f_28270; COUNTRY_RACE_iCurrentRace
Global_97353.f_28173; bSeaRaceFirstBlip
